,Unnamed: 0,hostel_name,hostel_link,city,price,distance,summary_score,rating_band,value_for_money,security,location,staff,atmosphere,cleanliness,facilities,Free,General,Services,Food & Drink,Entertainment,latitude,longitude
26,26,plat hostel keikyu minowa forest,https://www.hostelworld.com/hosteldetails.php/plat-hostel-keikyu-minowa-forest/Tokyo/300561,Tokyo,13.13,10.0,9.7,Superb,10.0,10.0,8.0,10.0,10.0,10.0,10.0,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Microwave', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.72618,139.79219
27,27,Ryoma Ikebukuro I,https://www.hostelworld.com/hosteldetails.php/Ryoma-Ikebukuro-I/Tokyo/286220,Tokyo,23.63,5.5,9.1,Superb,10.0,10.0,8.0,10.0,8.0,10.0,8.0,"['Free Airport Transfer', 'Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Cooker', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Safe Deposit Box']","['Housekeeping', 'Internet Access', 'Late check-out', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],,35.72959,139.7154
28,28,Khaosan Tokyo Samurai,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Samurai/Tokyo/95634,Tokyo,20.51,9.5,8.0,Fabulous,8.0,4.7,8.7,9.3,9.3,7.3,8.7,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']",,35.71485,139.79225
29,29,Guesthouse Fete,https://www.hostelworld.com/hosteldetails.php/Guesthouse-Fete/Tokyo/263266,Tokyo,18.87,3.0,8.9,Fabulous,10.0,8.0,8.0,10.0,10.0,8.0,8.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'BBQ', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Key Card Access', 'Outdoor Terrace', 'Parking', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Fax Service', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Tea & Coffee Making Facilities', 'Vending Machines']","['Foosball', 'Wi-Fi', 'Wii']",35.70146,139.7981
30,30,Capsule Hotel Anshin Oyado Akihabara,https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Akihabara/Tokyo/281075,Tokyo,46.97,7.2,8.0,Fabulous,6.0,8.0,10.0,10.0,8.0,8.0,6.0,"['Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Elevator', 'Hair Dryers', 'Hot Tub', 'Linen Not Included', 'Outdoor Terrace']","['24 Hour Reception', 'Internet Access']",['Tea & Coffee Making Facilities'],,35.70342,139.77076
31,31,Hotel Graphy Nezu,https://www.hostelworld.com/hosteldetails.php/Hotel-Graphy-Nezu/Tokyo/73386,Tokyo,14.77,7.6,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Air Conditioning', 'Breakfast Not Included', 'Elevator', 'Hair Dryers', 'Outdoor Terrace', 'Reading Light']","['24 Hour Security', 'Beauty Salon', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Café', 'Restaurant', 'Tea & Coffee Making Facilities']",,35.71717,139.76857
32,32,Khaosan Kyoto Guest House,https://www.hostelworld.com/hosteldetails.php/Khaosan-Kyoto-Guest-House/Kyoto/45698,Kyoto,16.41,1.1,9.9,Superb,10.0,10.0,10.0,10.0,10.0,9.3,10.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', ""DVD's"", 'Wi-Fi', 'Wii']",35.00156,135.76688
33,33,The Millennials Kyoto,https://www.hostelworld.com/hosteldetails.php/The-Millennials-Kyoto/Kyoto/280003,Kyoto,31.5,0.5,9.8,Superb,10.0,9.6,10.0,10.0,9.2,10.0,10.0,"['Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Meeting Rooms', 'Microwave', 'Safe Deposit Box', 'Utensils', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],"['Board Games', 'Wi-Fi']",35.0075,135.76883
34,34,Len Kyoto,https://www.hostelworld.com/hosteldetails.php/Len-Kyoto/Kyoto/93521,Kyoto,20.51,1.4,9.5,Superb,9.7,9.3,9.3,9.0,9.3,10.0,10.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Reading Light', 'Safe Deposit Box', 'Security Lockers']","['24 Hour Security', 'Internet Access', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant']",,34.99871,135.76729
35,35,HARUYA Umekoji,https://www.hostelworld.com/hosteldetails.php/HARUYA-Umekoji/Kyoto/278295,Kyoto,16.41,3.1,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"['Free Airport Transfer', 'Free Internet Access', 'Free WiFi']","['Adaptors', 'Card Phones', 'Hot Tub', 'Iron / Ironing Board', 'Reading Light']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],,34.98843,135.74633
36,36,Ryokan Hostel Gion,https://www.hostelworld.com/hosteldetails.php/Ryokan-Hostel-Gion/Kyoto/292201,Kyoto,22.15,0.8,9.9,Superb,10.0,10.0,10.0,10.0,9.3,10.0,10.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.00679,135.77422
37,37,Gojo Guest House,https://www.hostelworld.com/hosteldetails.php/Gojo-Guest-House/Kyoto/5317,Kyoto,16.41,1.9,9.6,Superb,10.0,10.0,9.0,10.0,10.0,9.0,9.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Security Lockers']","['Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Cafe', 'Restaurant', 'Tea & Coffee Making Facilities']",,34.99539,135.77221
38,38,Hostel Kyoto Kizuna,https://www.hostelworld.com/hosteldetails.php/Hostel-Kyoto-Kizuna/Kyoto/277793,Kyoto,14.77,2.1,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Parking', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wii'],34.99916,135.76266
